group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
access-broad-from-bytes,raw,50,,,1240004.0,ns,1
access-broad-from-bytes,raw,50,,,2508852.0,ns,2
access-broad-from-bytes,raw,50,,,3679414.0,ns,3
access-broad-from-bytes,raw,50,,,5675988.0,ns,4
access-broad-from-bytes,raw,50,,,6918895.0,ns,5
access-broad-from-bytes,raw,50,,,7525350.0,ns,6
access-broad-from-bytes,raw,50,,,8738999.0,ns,7
access-broad-from-bytes,raw,50,,,9824748.0,ns,8
access-broad-from-bytes,raw,50,,,11203909.0,ns,9
access-broad-from-bytes,raw,50,,,12361615.0,ns,10
access-broad-from-bytes,raw,50,,,13688328.0,ns,11
access-broad-from-bytes,raw,50,,,14915901.0,ns,12
access-broad-from-bytes,raw,50,,,16001625.0,ns,13
access-broad-from-bytes,raw,50,,,17222130.0,ns,14
access-broad-from-bytes,raw,50,,,18504874.0,ns,15
access-broad-from-bytes,raw,50,,,19769936.0,ns,16
access-broad-from-bytes,raw,50,,,20931711.0,ns,17
access-broad-from-bytes,raw,50,,,22157004.0,ns,18
access-broad-from-bytes,raw,50,,,23368774.0,ns,19
access-broad-from-bytes,raw,50,,,24628363.0,ns,20
access-broad-from-bytes,raw,50,,,26649669.0,ns,21
access-broad-from-bytes,raw,50,,,27271976.0,ns,22
access-broad-from-bytes,raw,50,,,28391115.0,ns,23
access-broad-from-bytes,raw,50,,,29332525.0,ns,24
access-broad-from-bytes,raw,50,,,30383831.0,ns,25
access-broad-from-bytes,raw,50,,,32947332.0,ns,26
access-broad-from-bytes,raw,50,,,33947892.0,ns,27
access-broad-from-bytes,raw,50,,,34542056.0,ns,28
access-broad-from-bytes,raw,50,,,35740782.0,ns,29
access-broad-from-bytes,raw,50,,,36744508.0,ns,30
access-broad-from-bytes,raw,50,,,38495687.0,ns,31
access-broad-from-bytes,raw,50,,,39469115.0,ns,32
access-broad-from-bytes,raw,50,,,40280380.0,ns,33
access-broad-from-bytes,raw,50,,,41758923.0,ns,34
access-broad-from-bytes,raw,50,,,43196087.0,ns,35
access-broad-from-bytes,raw,50,,,44671483.0,ns,36
access-broad-from-bytes,raw,50,,,45388456.0,ns,37
access-broad-from-bytes,raw,50,,,46599406.0,ns,38
access-broad-from-bytes,raw,50,,,47986228.0,ns,39
access-broad-from-bytes,raw,50,,,49003587.0,ns,40
access-broad-from-bytes,raw,50,,,50317149.0,ns,41
access-broad-from-bytes,raw,50,,,51446851.0,ns,42
access-broad-from-bytes,raw,50,,,52664399.0,ns,43
access-broad-from-bytes,raw,50,,,54015193.0,ns,44
access-broad-from-bytes,raw,50,,,56018280.0,ns,45
access-broad-from-bytes,raw,50,,,56685045.0,ns,46
access-broad-from-bytes,raw,50,,,57682156.0,ns,47
access-broad-from-bytes,raw,50,,,59089822.0,ns,48
access-broad-from-bytes,raw,50,,,59998163.0,ns,49
access-broad-from-bytes,raw,50,,,61430922.0,ns,50
access-broad-from-bytes,raw,50,,,63022551.0,ns,51
access-broad-from-bytes,raw,50,,,64276914.0,ns,52
access-broad-from-bytes,raw,50,,,65248396.0,ns,53
access-broad-from-bytes,raw,50,,,66458499.0,ns,54
access-broad-from-bytes,raw,50,,,67989665.0,ns,55
access-broad-from-bytes,raw,50,,,69202897.0,ns,56
access-broad-from-bytes,raw,50,,,70839246.0,ns,57
access-broad-from-bytes,raw,50,,,71896986.0,ns,58
access-broad-from-bytes,raw,50,,,72844908.0,ns,59
access-broad-from-bytes,raw,50,,,74398379.0,ns,60
access-broad-from-bytes,raw,50,,,75699861.0,ns,61
access-broad-from-bytes,raw,50,,,76481122.0,ns,62
access-broad-from-bytes,raw,50,,,77887842.0,ns,63
access-broad-from-bytes,raw,50,,,78917845.0,ns,64
access-broad-from-bytes,raw,50,,,81049509.0,ns,65
access-broad-from-bytes,raw,50,,,81701027.0,ns,66
access-broad-from-bytes,raw,50,,,83051570.0,ns,67
access-broad-from-bytes,raw,50,,,83938040.0,ns,68
access-broad-from-bytes,raw,50,,,84872613.0,ns,69
access-broad-from-bytes,raw,50,,,86317113.0,ns,70
access-broad-from-bytes,raw,50,,,87880105.0,ns,71
access-broad-from-bytes,raw,50,,,88384705.0,ns,72
access-broad-from-bytes,raw,50,,,89647765.0,ns,73
access-broad-from-bytes,raw,50,,,90802451.0,ns,74
access-broad-from-bytes,raw,50,,,92213243.0,ns,75
access-broad-from-bytes,raw,50,,,94211111.0,ns,76
access-broad-from-bytes,raw,50,,,94663494.0,ns,77
access-broad-from-bytes,raw,50,,,95671159.0,ns,78
access-broad-from-bytes,raw,50,,,97175666.0,ns,79
access-broad-from-bytes,raw,50,,,98081463.0,ns,80
access-broad-from-bytes,raw,50,,,99029684.0,ns,81
access-broad-from-bytes,raw,50,,,100692458.0,ns,82
access-broad-from-bytes,raw,50,,,101584592.0,ns,83
access-broad-from-bytes,raw,50,,,103026131.0,ns,84
access-broad-from-bytes,raw,50,,,104205152.0,ns,85
access-broad-from-bytes,raw,50,,,106112473.0,ns,86
access-broad-from-bytes,raw,50,,,106723731.0,ns,87
access-broad-from-bytes,raw,50,,,107798710.0,ns,88
access-broad-from-bytes,raw,50,,,109243352.0,ns,89
access-broad-from-bytes,raw,50,,,110246930.0,ns,90
access-broad-from-bytes,raw,50,,,111785175.0,ns,91
access-broad-from-bytes,raw,50,,,113336513.0,ns,92
access-broad-from-bytes,raw,50,,,114092429.0,ns,93
access-broad-from-bytes,raw,50,,,115323003.0,ns,94
access-broad-from-bytes,raw,50,,,116900717.0,ns,95
access-broad-from-bytes,raw,50,,,118023318.0,ns,96
access-broad-from-bytes,raw,50,,,118981941.0,ns,97
access-broad-from-bytes,raw,50,,,120068564.0,ns,98
access-broad-from-bytes,raw,50,,,120917373.0,ns,99
access-broad-from-bytes,raw,50,,,159848121.0,ns,100
